,bMF,bMM,bMJA,bMJB,surv,delay_f,m_growth,delay_j,mean_hatch,diff_hatch,P2,LHSresults
216,0.023574547,0.014536346,0.048603248,0.045592481,0.0002996,16.409,9.455,4.097,142.6,274.8,0.301,0.04
217,0.008164779,0.00103837,0.011717733,0.023749293,0.0003124,11.963,19.601,3.375,440.2,140.4,0.667,0.68
218,0.010656751,0.005747836,0.00503628,0.009116092,7.96E-05,14.319,17.169,5.959,680.2,48.4,0.735,0.21
219,0.012915843,0.008979612,0.01805876,0.005608895,0.0002716,4.287,3.641,7.669,225.4,112.4,0.457,0.17
220,0.006220169,0.006949262,0.016029799,0.003746676,0.000134,11.165,9.189,9.797,591.4,243.6,0.895,0.27
221,0.017967147,0.009180061,0.006332604,0.008781817,0.0003004,3.489,6.263,15.573,310.6,10.8,0.085,0.08
222,0.021077292,0.012456087,0.004877621,0.022328666,0.0002236,5.541,9.721,16.029,674.2,152.4,0.437,0.1
223,0.018187073,0.035883494,0.020870307,0.020027504,5.32E-05,7.365,18.841,3.033,559,244.4,0.273,0.02
224,0.015525614,0.006785288,0.014853736,0.012358183,0.000358,17.511,2.653,5.579,249.4,207.6,0.613,0.32
225,0.02588992,0.007894688,0.008082354,0.015543637,0.0002268,8.429,17.701,15.991,535,129.2,0.541,0.06
226,0.018414813,0.007112744,0.032186918,0.018742094,0.0002452,9.721,6.339,14.509,433,47.6,0.845,0.09
227,0.01645588,0.018445705,0.005273228,0.024811603,0.0001236,1.209,16.523,18.955,107.8,309.2,0.051,0.02
228,0.008833124,0.009997496,0.005312621,0.001483775,0.000114,16.257,14.243,13.179,622.6,222.8,0.601,0.14
229,0.014106154,0.033605218,0.004234608,0.006463397,0.0001428,5.731,11.583,18.575,308.2,113.2,0.627,0.02
230,0.00934221,0.001764077,0.0126591,0.014515959,0.0001524,15.383,11.659,11.773,476.2,340.4,0.863,0.27
231,0.008202263,0.022887608,0.015092965,0.01890559,1.40E-05,14.053,12.115,17.017,236.2,22.8,0.253,0.02
232,0.017754344,0.017012976,0.013552055,0.030164481,0.000218,2.805,19.107,3.109,452.2,215.6,0.683,0.26
