"bMF" "bMM" "bMJA" "bMJB" "surv" "delay_f" "m_growth" "delay_j" "mean_hatch" "diff_hatch" "P2" "LHSresults"
"22" 0.0197031572615364 0.0104534618856787 0.00382256890545795 0.00443382201697305 0.0003988 12.533 7.821 10.595 284.2 35.6 0.387 0.14
"23" 0.0201856442318235 0.00708008040267043 0.0486032476265326 0.000692559006399688 9.16e-05 19.297 17.663 19.411 413.8 370 0.013 0
"24" 0.0035283718495814 0.0120169886306004 0.0106892038340344 0.0052979102340179 0.0001956 1.133 1.589 9.455 157 39.6 0.559 0.01
"25" 0.0156208218821919 0.00286111119752639 0.0116696462568937 0.00945527619997041 0.0001908 2.729 17.625 13.939 633.4 10 0.875 0.18
"26" 0.010355942844762 0.00274839538765928 0.00751845382277645 0.00611346174736164 0.0003228 1.665 8.201 8.163 161.8 311.6 0.633 0.32
"27" 0.0167054147161372 0.0161142741949172 0.00660749005893911 0.0236235788950466 4.28e-05 7.973 13.407 16.637 627.4 15.6 0.057 0
"28" 0.0129686206780509 0.0110308559298524 0.0057054792943693 0.00431422223178431 0.0003508 4.667 1.627 13.141 271 216.4 0.151 0.19
"29" 0.0112700211282788 0.00312639741135105 0.00816367792950441 0.00148377452230096 0.0001252 15.725 4.819 5.085 615.4 7.6 0.489 0.37
"30" 0.0136921456270659 0.0220252414985259 0.0112897309308575 0.0151718915043271 6.2e-05 10.823 13.597 2.843 439 61.2 0.693 0
"31" 0.00886614180688235 0.00931445935712468 0.00605820191436504 0.00165906511916534 0.0001916 16.333 12.229 19.981 200.2 243.6 0.147 0.02
"32" 0.0108988200796949 0.0175314454648231 0.0160946678854051 0.0113365007707799 0.0003684 4.135 7.745 13.559 379 18.8 0.333 0.16
"33" 0.0115323646260669 0.0191418422543365 0.0195951450204669 0.0167960245189166 0.0002836 15.953 4.705 7.669 490.6 43.6 0.425 0.23
"34" 0.0106567511519353 0.0143913004044603 0.00915816955292585 0.0170761310950158 5.4e-05 7.099 15.003 15.345 251.8 198.8 0.765 0
"35" 0.0173477524619317 0.00459595181467855 0.00277401785917582 0.00302535530767001 0.0002436 1.285 15.155 15.801 345.4 132.4 0.423 0.1
"36" 0.011005459606802 0.0144877743088739 0.00672553738203621 0.00824790427449822 0.0001484 3.299 7.023 5.693 454.6 262.8 0.525 0.21
"37" 0.00614984744115809 0.0329982560230128 0.0162253784664791 0.00752444704945818 0.0003444 8.125 5.541 6.871 572.2 269.2 0.897 0.29
"38" 0.00893164680144387 0.0298551272962397 0.0105533486623649 0.00661933138675126 0.0001196 14.889 16.751 18.537 148.6 266.8 0.473 0
"39" 0.00660388766883272 0.0295081993039066 0.0251593840684577 0.00894836980948403 0.0003892 15.117 18.081 11.887 229 79.6 0.363 0.01
"40" 0.00592459498686172 0.00615501221334174 0.00187332878884329 0.0292679846070215 0.0001532 13.293 3.033 11.355 118.6 198 0.111 0.02
"41" 0.018054226281108 0.0185954710033243 0.00411201717205883 0.016935296004158 0.000158 18.917 18.499 19.221 691 88.4 0.997 0.02
"42" 0.0157169941807396 0.00864818525236215 0.0154598753717129 0.0282484879311522 2.52e-05 9.683 2.957 9.113 103 267.6 0.419 0
"43" 0.0110851114525185 0.0035600569130341 0.0133371541169102 0.00564771952310554 0.0003868 13.863 19.867 8.201 255.4 179.6 0.083 0.4
"44" 0.0226550901396869 0.00652154348980624 0.00712049901274527 0.00650235214495135 0.0003452 3.489 12.647 18.917 517 289.2 0.583 0.11
"45" 0.00987665439762932 0.0253503899622357 0.00890600894765345 0.0115262795832611 0.0002516 17.739 6.035 7.479 673 146.8 0.261 0.27
"46" 0.0179240372500746 0.013967656242677 0.0377062531661921 0.00886495080144073 4.2e-05 1.247 18.423 12.039 608.2 222.8 0.145 0
